"id_filtro_selezione","descrizione","object_context","object_name","filter","bind_expression","error_code_list","note","sort_expression","filter_tipi_avviso","nome_tabella","campo_descr_oggetto","additional_filter","selection_sql"
"1003","Centri gestionali con segnalazioni aperte",NULL,"centriGestionali","exists(compiti[(stato = 'P' or stato = 'A' or stato = 'T' or stato = 'V' or stato = 'W')]) ",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(compiti[(stato = 'P' or stato = 'A' or stato = 'T' or stato = 'V' or stato = 'W')]) ",NULL
"49","CG con scadenza mensile tra 10 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-10) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-9) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=1)])",NULL,NULL,"Centri gestionali con scadenza mensile che scadono tra 10 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-10) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-9) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=1)])",NULL
"51","CG con scadenza bi-settimanale tra 5 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-5) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-4) > sysdate and (serieRipetizione.cadenza= 'S' AND serieRipetizione.periodicita=2)])",NULL,NULL,"Centri gestionali con scadenza bi-settimanale che scadono tra 5 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-5) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-4) > sysdate and (serieRipetizione.cadenza= 'S' AND serieRipetizione.periodicita=2)])",NULL
"44","CG con scadenza bi-tri-quadrimestrale tra 5 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-5) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-4) > sysdate and (serieRipetizione.cadenza= 'M' AND (serieRipetizione.periodicita=2 or serieRipetizione.periodicita=3 or serieRipetizione.periodicita=4))])",NULL,NULL,"Centri gestionali con scadenza bimestrale, trimestrale o quadrimestrale che scadono tra 5 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-5) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-4) > sysdate and (serieRipetizione.cadenza= 'M' AND (serieRipetizione.periodicita=2 or serieRipetizione.periodicita=3 or serieRipetizione.periodicita=4))])",NULL
"45","CG con scadenza semestrale tra 60 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-60) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-59) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=6)])",NULL,NULL,"Centri gestionali con scadenza semestrale che scadono tra 60 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-60) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-59) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=6)])",NULL
"47","CG con scadenza annuale tra 90 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-90) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-89) > sysdate and serieRipetizione.cadenza= 'A'])",NULL,NULL,"Centri gestionali con scadenza annuale che scadono tra 90 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-90) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-89) > sysdate and serieRipetizione.cadenza= 'A'])",NULL
"50","CG con scadenza mensile o settimanale tra 3 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-3) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-2) > sysdate and (serieRipetizione.cadenza= 'M' OR serieRipetizione.cadenza= 'S') AND serieRipetizione.periodicita=1])",NULL,NULL,"Centri gestionali con scadenza mensile o settimanale che scadono tra 3 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-3) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-2) > sysdate and (serieRipetizione.cadenza= 'M' OR serieRipetizione.cadenza= 'S') AND serieRipetizione.periodicita=1])",NULL
"46","CG con scadenza semestrale tra 20 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-20) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-19) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=6)])",NULL,NULL,"Centri gestionali con scadenza semestrale che scadono tra 20 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-20) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-19) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=6)])",NULL
"48","CG con scadenza annuale tra 30 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-29) > sysdate and serieRipetizione.cadenza= 'A'])",NULL,NULL,"Centri gestionali con scadenza annuale che scadono tra 30 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-29) > sysdate and serieRipetizione.cadenza= 'A'])",NULL
"52","Centri gestionali con segnalazioni di tipo comunicazione aperte",NULL,"centriGestionali","exists(compiti[(stato = 'P' or stato = 'A' or stato = 'T' or stato = 'V' or stato = 'W') AND tipoSegnalazione.codice='CMN']) ",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(compiti[(stato = 'P' or stato = 'A' or stato = 'T' or stato = 'V' or stato = 'W') AND tipoSegnalazione.codice='CMN']) ",NULL
