"id_filtro_selezione","descrizione","object_context","object_name","filter","bind_expression","error_code_list","note","sort_expression","filter_tipi_avviso","nome_tabella","campo_descr_oggetto","additional_filter","selection_sql"
"34","Anagrafiche tutte",NULL,"anagraficheId",NULL,NULL,NULL,"Anagrafiche tutte",NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)",NULL,"select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' "
"3","Fonti di rischio (per argomento e rischio specifico)","sondaggi","fontiRischio","rischio.rischiTipiTest.idArgomento = ? and codiceRischio = ?","modelloTest.idArgomento|modelloTest.cplModelloTest.codiceRischio",NULL,"Tutte le fonti di rischio associate al rischio indicato nel modello di test e all'argomento indicato nel sondaggio.",NULL,NULL,"fonti_rischio","descrizione","rischio.rischiTipiTest.idArgomento = ? and codiceRischio = ?",NULL
"8","Procedure aziendali",NULL,"procedureAziendali",NULL,NULL,NULL,"Tutte le procedure aziendali.",NULL,NULL,"procedureAziendali",NULL,NULL,NULL
"9","Fornitori",NULL,"anagraficheId","exists(ruoliAnagrafiche[codiceRuolo='FOR'])",NULL,NULL,"Tutti i fornitori senza distinzione tra sede legale, anagrafica contabile, sede operativa, destinazione o altro.",NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(ruoliAnagrafiche[codiceRuolo='FOR'])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='CLI' and codice_azienda='DEMO')"
"37","Centri gestionali con sondaggi da fare",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A')])",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A')])",NULL
"1005","Centri gestionali con sondaggi che scadono tra 30-60 gg (esclusi giornalieri)",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-60) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-30) > sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')])",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-60) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-30) > sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')])",NULL
"1011","Centri gestionali con sondaggi scaduti e confermati",NULL,"centriGestionali","exists(sondaggi[(stato = 'A') and coalesce(dataEsecuzione, dataPrevista) <= sysdate])",NULL,NULL,"Centri gestionali con sondaggi scaduti e confermati",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'A') and coalesce(dataEsecuzione, dataPrevista) <= sysdate])",NULL
"1004","CG con sondaggi annuali tra 30-90 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-90) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-30) > sysdate and serieRipetizione.cadenza != 'A'])",NULL,NULL,"Centri gestionali con sondaggi annuali che scadono tra 30-90 gg ",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-90) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-30) > sysdate and serieRipetizione.cadenza != 'A'])",NULL
"1007","CG con sondaggi annuali o mensili tra 14-21 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-21) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-14) > sysdate and (idSerie = null or (serieRipetizione.cadenza != 'G' AND serieRipetizione.cadenza != 'S' ))])",NULL,NULL,"Centri gestionali con sondaggi che scadono tra 14-21 gg",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-21) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-14) > sysdate and (idSerie = null or (serieRipetizione.cadenza != 'G' AND serieRipetizione.cadenza != 'S' ))])",NULL
"1006","CG con sondaggi annuali o mensili tra 21-30 gg ",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-21) > sysdate and (idSerie = null or (serieRipetizione.cadenza != 'G' AND serieRipetizione.cadenza != 'S'))])",NULL,NULL,"Centri gestionali con sondaggi annuali o mensili che scadono tra 21-30 gg ",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-21) > sysdate and (idSerie = null or (serieRipetizione.cadenza != 'G' AND serieRipetizione.cadenza != 'S'))])",NULL
